id,price,dprice
iron2009,81.129906,-0.45342419
iron2010,142.72713,0.75924188
iron2011,147.88626,0.03614683
iron2012,114.12124,-0.2283175
iron2013,120.74526,0.05804374
iron2014,87.664215,-0.27397388
iron2015,55.849621,-0.36291426
iron2016,60.795307,0.08855362
iron2017,72.149826,0.18676637
iron2018,67.058563,-0.94696373
iron2019,92.313263,0.37660664
iron2020,107.66451,0.16629517
iron2021,157.33514,0.46134636
ironLast,2021.0,2021.0
lead0005,3710.1455,4.8497982
lead0010,1873.441,-0.0139929
lead0015,2119.498,0.14518081
lead0020,946.23566,0.20225458
lead1960,1016.4413,
lead1961,887.36133,-0.12699209
lead1962,764.33582,-0.13864195
lead1963,876.49756,0.14674406
lead1964,1374.0903,0.56770581
lead1965,1553.4385,0.13052136
lead1966,1231.2018,-0.20743448
lead1967,1066.0715,-0.13412119
lead1968,1135.9823,0.06557793
lead1969,1299.7444,0.144159
lead1970,1276.7643,-0.01768048
lead1971,1016.4883,-0.2038559
lead1972,1108.311,0.09033325
lead1973,1361.2543,0.22822405
lead1974,1539.6538,0.13105527
lead1975,963.62817,-0.37412673
lead1976,1032.2787,0.07124171
lead1977,1321.9998,0.28066167
lead1978,1218.4221,-0.07834921
lead1979,1993.7604,0.63634616
lead1980,1358.812,-0.31846774
lead1981,1088.9939,-0.19856913
lead1982,842.67773,-0.2261869
lead1983,674.83478,-0.19917811
lead1984,718.03168,0.06401107
lead1985,640.76093,-0.10761468
lead1986,578.79163,-0.09671205
lead1987,776.29645,0.3412365
lead1988,801.51154,0.03248126
lead1989,827.53906,0.03247305
lead1990,959.34729,0.15927735
lead1991,666.11371,-0.30565947
lead1992,634.83618,-0.04695524
lead1993,460.6228,-0.27442259
lead1994,640.14124,0.3897298
lead1995,671.65399,0.04922782
lead1996,840.289,0.25107422
lead1997,710.82416,-0.15407181
lead1998,629.51202,-0.11439135
lead1999,610.25183,-0.03059543
lead2000,558.30066,-0.08513071
lead2001,608.43555,0.08979908
lead2002,585.27246,-0.03806991
lead2003,632.96802,0.08149291
lead2004,1020.2568,0.61186147
lead2005,1089.3149,0.06768704
lead2006,1403.366,0.28830141
lead2007,2645.4189,0.8850528
lead2008,1989.3383,-0.24800634
lead2009,1744.0032,-0.12332497
lead2010,2102.2576,0.20542072
lead2011,2116.4727,0.00676182
lead2012,1833.6696,-0.13362001
lead2013,1908.7415,0.0409408
lead2014,1894.7091,-0.00735162
lead2015,1787.6737,-0.05649173
lead2016,1942.4113,0.08655805
lead2017,2327.2393,0.1981187
lead2018,2153.9321,28.853601
lead2019,1963.8334,-0.08825661
lead2020,1803.8735,-0.08145285
lead2021,2140.8369,0.18679988
leadLast,2021.0,2021.0
nickel0005,10062.433,0.77429032
nickel0010,13222.891,-0.12210172
nickel0015,22932.791,0.01893378
nickel0020,15867.794,0.29738754
nickel1960,8337.0176,
nickel1961,8579.0381,0.02902963
nickel1962,8667.9961,0.01036923
nickel1963,8732.8018,0.00747643
nickel1964,8612.2734,-0.01380179
nickel1965,8497.5664,-0.01331902
nickel1966,8214.3105,-0.03333376
nickel1967,9063.7734,0.10341256
nickel1968,9799.0723,0.08112502
nickel1969,10596.428,0.0813705
nickel1970,11996.786,0.13215382
nickel1971,11751.387,-0.02045543
nickel1972,11315.739,-0.037072
nickel1973,10686.117,-0.05564127
nickel1974,9944.2432,-0.06942409
nickel1975,10700.348,0.07603439
nickel1976,11499.589,0.07469302
nickel1977,10948.568,-0.04791654
nickel1978,8484.4697,-0.22506127
nickel1979,9877.6328,0.16420156
nickel1980,9779.3584,-0.00994919
nickel1981,8920.667,-0.08780652
nickel1982,7471.4932,-0.16245128
nickel1983,7413.729,-0.00773127
nickel1984,7709.3804,0.0398789
nickel1985,8031.3359,0.04176154
nickel1986,5532.0571,-0.31119093
nickel1987,6337.166,0.14553517
nickel1988,16828.801,1.6555721
nickel1989,16352.551,-0.0282997
nickel1990,10491.441,-0.35842171
nickel1991,9742.4775,-0.07138808
nickel1992,8210.0244,-0.15729603
nickel1993,6000.2944,-0.26915023
nickel1994,7408.9575,0.23476566
nickel1995,8758.8477,0.18219703
nickel1996,8139.8042,-0.07067636
nickel1997,7889.0581,-0.03080493
nickel1998,5512.8848,-0.3011986
nickel1999,7298.5293,0.32390383
nickel2000,10623.514,0.45556909
nickel2001,7596.1768,-0.28496569
nickel2002,8755.1699,0.15257585
nickel2003,11834.558,0.35172221
nickel2004,15908.109,0.34420821
nickel2005,16449.547,0.03403531
nickel2006,26391.588,0.60439605
nickel2007,38174.027,0.44644678
nickel2008,20087.506,-0.47379127
nickel2009,14865.479,-0.2599639
nickel2010,21339.963,0.43553814
nickel2011,20196.977,-0.05356084
nickel2012,15584.522,-0.2283735
nickel2013,13408.705,-0.13961399
nickel2014,15274.955,0.13918197
nickel2015,11861.67,-0.22345631
nickel2016,9984.5986,-0.1582468
nickel2017,10466.185,0.04823288
nickel2018,12607.732,4.4174628
nickel2019,13686.198,0.08554003
nickel2020,13628.544,-0.00421259
nickel2021,17965.42,0.31822005
nickelLast,2021.0,2021.0
oil0005,1717.2023,-0.11208545
oil0010,73.683083,-0.11781403
oil0015,79.377586,0.08139206
oil0020,48.138073,0.1813003
oil1960,8.3319063,
oil1961,7.872057,-0.05519138
oil1962,7.4817457,-0.04958186
oil1963,7.5210733,0.00525648
oil1964,7.1700268,-0.04667506
oil1965,6.9547806,-0.03002028
oil1966,6.4240723,-0.07630842
oil1967,6.2276273,-0.03057951
oil1968,6.2351289,0.00120457
oil1969,5.6941113,-0.08676926
oil1970,5.1001725,-0.10430755
oil1971,6.7732491,0.32804313
oil1972,6.6867905,-0.01276473
oil1973,8.8942738,0.33012599
oil1974,28.530962,2.2077899
oil1975,24.419872,-0.14409222
oil1976,26.892817,0.1012677
oil1977,26.878523,-0.00053151
oil1978,23.776335,-0.11541513
oil1979,51.095352,1.1490004
oil1980,55.310738,0.08250037
oil1981,53.174103,-0.03862966
oil1982,50.42355,-0.05172731
oil1983,47.054173,-0.0668215
oil1984,46.328068,-0.01543125
oil1985,44.563507,-0.03808837
oil1986,20.453512,-0.54102552
oil1987,23.601814,0.15392476
oil1988,17.976595,-0.23833843
oil1989,21.91971,0.21934716
oil1990,27.079504,0.23539516
oil1991,23.139872,-0.14548393
oil1992,22.304871,-0.03608495
oil1993,19.090677,-0.14410275
oil1994,18.565769,-0.02749552
oil1995,18.291868,-0.01475301
oil1996,22.159559,0.2114432
oil1997,21.832403,-0.01476365
oil1998,15.557273,-0.28742281
oil1999,21.94137,0.41036093
oil2000,34.719593,0.58238035
oil2001,31.116783,-0.10376878
oil2002,32.228985,0.03574282
oil2003,35.516575,0.10200725
oil2004,43.424469,0.22265363
oil2005,59.567322,0.37174556
oil2006,69.953018,0.17435224
oil2007,72.920212,0.04241695
oil2008,92.289757,0.26562655
oil2009,62.645477,-0.32120878
oil2010,77.341393,0.23458861
oil2011,91.691078,0.18553695
oil2012,93.262321,0.01713627
oil2013,92.839493,-0.00453376
oil2014,87.015488,-0.06273198
oil2015,50.74865,-0.41678602
oil2016,44.549465,-0.12215467
oil2017,53.091858,0.19175074
oil2018,65.708618,-0.99372184
oil2019,60.402527,-0.08075183
oil2020,40.782837,-0.32481572
oil2021,67.201942,0.64779961
oilLast,2021.0,2021.0
silver0005,3467.6624,45.137882
silver0010,19.947002,-0.09658499
silver0015,18.725519,0.21482417
silver0020,8.0670309,0.19131015
silver1960,4.6704674,
silver1961,4.6351957,-0.00755206
silver1962,5.3343124,0.15082787
silver1963,6.4135118,0.20231274
silver1964,6.3936863,-0.0030912
silver1965,6.3327684,-0.00952781
silver1966,6.1075921,-0.03555733
silver1967,7.2539372,0.18769182
silver1968,10.130353,0.39653164
silver1969,8.0285473,-0.20747605
silver1970,7.4640956,-0.07030559
silver1971,6.194684,-0.17006904
silver1972,6.1891999,-0.00088529
silver1973,8.1024485,0.30912694
silver1974,12.239017,0.51053309
silver1975,10.342638,-0.15494533
silver1976,10.071799,-0.02618662
silver1977,9.9173155,-0.01533825
silver1978,9.9745865,0.00577485
silver1979,18.315659,0.83623236
silver1980,31.210846,0.70405263
silver1981,15.76894,-0.4947609
silver1982,12.247697,-0.22330245
silver1983,18.128611,0.48016486
silver1984,13.211834,-0.27121642
silver1985,10.025123,-0.24120128
silver1986,7.7526526,-0.22667752
silver1987,9.1178446,0.17609352
silver1988,7.976285,-0.1252006
silver1989,6.7668929,-0.15162347
silver1990,5.7205467,-0.15462728
silver1991,4.8396425,-0.15398951
silver1992,4.6273055,-0.04387452
silver1993,4.8837371,0.05541704
silver1994,6.1759038,0.26458564
silver1995,5.5357208,-0.10365818
silver1996,5.6443939,0.01963125
silver1997,5.5870981,-0.01015092
silver1998,6.6099405,0.18307221
silver1999,6.3323464,-0.04199646
silver2000,6.0919681,-0.0379604
silver2001,5.5916567,-0.08212639
silver2002,5.948679,0.06384911
silver2003,5.9928713,0.00742893
silver2004,7.6620293,0.27852392
silver2005,8.1538019,0.06418308
silver2006,12.577775,0.5425657
silver2007,13.731622,0.09173695
silver2008,14.269718,0.03918666
silver2009,14.854224,0.04096129
silver2010,19.719669,0.32754624
silver2011,31.052361,0.57468975
silver2012,27.654102,-0.10943639
silver2013,21.274464,-0.23069412
silver2014,17.244411,-0.18943143
silver2015,15.719387,-0.08843587
silver2016,17.842649,0.13507286
silver2017,17.158876,-0.03832239
silver2018,15.107045,-0.71545458
silver2019,15.952172,0.05594258
silver2020,20.300175,0.27256492
silver2021,24.483788,0.20608753
silverLast,2021.0,2021.0
tin0005,15014.132,180.51695
tin0010,18633.451,-0.03091665
tin0015,17844.52,0.2247739
tin0020,7770.0664,0.1382888
tin1960,11228.818,
tin1961,12283.877,0.0939599
tin1962,12164.646,-0.00970634
tin1963,12573.897,0.03364274
tin1964,16875.482,0.34210435
tin1965,19056.018,0.1292132
tin1966,16879.762,-0.11420308
