countrycode,year,gpop_med,watp_1564_med
NRU,2085,0.0037210281006991863,0.6670765678721108
NRU,2086,0.003407158423215151,0.6670418167266906
NRU,2087,0.0030964415054768324,0.6667996409693827
NRU,2088,0.003037170274183154,0.6669898086005469
NRU,2089,0.0032757623121142387,0.6676576978345968
NRU,2090,0.003018086077645421,0.6683628099990119
NRU,2091,0.0025163451209664345,0.6691634840458297
NRU,2092,0.002215058309957385,0.6700757203264824
NRU,2093,0.00250448239967227,0.6708683816857542
NRU,2094,0.0024493008386343718,0.6714939210841753
NRU,2095,0.0020039596129208803,0.6718830106686849
NRU,2096,0.0017075256910175085,0.6721746971801809
NRU,2097,0.0018505897605791688,0.6722619568919379
NRU,2098,0.0019442965276539326,0.6721538349479205
NRU,2099,0.0017951148329302669,0.6718534138006252
NRU,2100,0.0015983341727405787,0.6713770658407336
NPL,2024,-0.0014680096646770835,0.6506737222448531
NPL,2025,-0.0011114041553810239,0.6532383936960207
NPL,2026,0.0003811804635915905,0.655891792241084
NPL,2027,0.00329372426494956,0.658834643232431
NPL,2028,0.0073875137604773045,0.6621988995473074
NPL,2029,0.009455983527004719,0.6656731921342445
NPL,2030,0.009149696677923203,0.6690502953368184
NPL,2031,0.008840552531182766,0.6722573652978342
NPL,2032,0.008556180633604527,0.6752267714125705
NPL,2033,0.008295775391161442,0.6778959980888084
NPL,2034,0.007987271063029766,0.6801549234598337
NPL,2035,0.007669373881071806,0.6820883681553036
NPL,2036,0.00738545274361968,0.6838866323862234
NPL,2037,0.007109866011887789,0.6856573461595595
NPL,2038,0.0068735103122889996,0.6873893780757749
NPL,2039,0.006623890716582537,0.6889071338306848
NPL,2040,0.006366254296153784,0.6902251418825056
NPL,2041,0.0061410823836922646,0.6914600071752882
NPL,2042,0.005925825797021389,0.6925849811608307
NPL,2043,0.005699260625988245,0.693560959045954
NPL,2044,0.005474334117025137,0.6943395706029998
NPL,2045,0.005262684542685747,0.6948988351974387
NPL,2046,0.005064813420176506,0.6952136550899157
NPL,2047,0.004814999643713236,0.6952783071777522
NPL,2048,0.004517046269029379,0.6951174382325239
NPL,2049,0.004302638117223978,0.6947628495803756
NPL,2050,0.004102419130504131,0.6942480155679112
NPL,2051,0.0038887369446456432,0.6936269737450776
NPL,2052,0.0036231260746717453,0.6929363964650495
NPL,2053,0.0033536863047629595,0.6920983873323967
NPL,2054,0.0031219772063195705,0.6910316194813388
NPL,2055,0.0028918019961565733,0.6897204163174135
NPL,2056,0.0026977017987519503,0.6882131481856446
NPL,2057,0.002458386356011033,0.6865218260713609
