countrycode,kg_kp_ratio,kg_k_share,iei,efficiency
BDI,0.649274468421936,0.39367279410362244,,0.6186082363128662
CPV,0.36441266536712646,0.26708391308784485,,0.7713719606399536
KHM,0.5727624893188477,0.36417609453201294,,0.6719135046005249
CMR,0.37409040331840515,0.272245854139328,,0.688909649848938
CAN,0.27302858233451843,0.21447168290615082,,0.8708469867706299
CYM,0.30219972133636475,0.2320682406425476,,0.8708469867706299
CAF,1.5663563013076782,0.6103425025939941,,0.6186082363128662
TCD,0.4623413681983948,0.31616514921188354,,0.6186082363128662
CHI,0.30219972133636475,0.2320682406425476,,0.8708469867706299
CHL,0.16617926955223083,0.1424989104270935,,0.7343809604644775
CHN,0.8765276670455933,0.4671008586883545,,0.8418564200401306
COL,0.2163630872964859,0.17787706851959229,,0.7713719606399536
COM,0.2279074341058731,0.18560637533664703,,0.688909649848938
COD,0.21562792360782623,0.17737987637519836,,0.5419837236404419
COG,0.35226544737815857,0.2605002224445343,,0.688909649848938
CRI,0.18673236668109894,0.15735001862049103,,0.7205625772476196
HRV,0.45611441135406494,0.31324076652526855,,0.899700939655304
CUB,0.3921378552913666,0.28159332275390625,,0.7713719606399536
CUW,0.30219972133636475,0.2320682406425476,,0.8708469867706299
CYP,0.30219972133636475,0.2320682406425476,,0.8712047934532166
CZE,0.25934547185897827,0.2059367150068283,,0.8708469867706299
CIV,0.38913241028785706,0.2801262140274048,,0.679297149181366
DNK,0.3511883318424225,0.2599107325077057,,0.9702854752540588
DJI,0.8051954507827759,0.44604334235191345,,0.688909649848938
DMA,2.4286868572235107,0.7083431482315063,,0.7713719606399536
DOM,0.22342416644096375,0.1826220005750656,,0.7713719606399536
ECU,0.7820377945899963,0.4388446807861328,,0.6658869981765747
EGY,1.218172311782837,0.549178421497345,,0.8803142309188843
SLV,0.33121898770332336,0.24880878627300262,,0.7890307903289795
GNQ,1.8283439874649048,0.6464362144470215,,0.7713719606399536
ERI,4.950874328613281,0.8319574594497681,,0.6186082363128662
EST,0.30768829584121704,0.23529177904129028,,0.8708469867706299
SWZ,0.869339108467102,0.4650515913963318,,0.688909649848938
ETH,0.9087212085723877,0.4760890007019043,,0.59770667552948
FRO,0.30219972133636475,0.2320682406425476,,0.8708469867706299
FJI,0.37681639194488525,0.2736867368221283,,0.7713719606399536
FIN,0.3008918762207031,0.2312966138124466,,0.8708469867706299
FRA,0.31494998931884766,0.2395148128271103,,0.8708469867706299
PYF,0.30219972133636475,0.2320682406425476,,0.8708469867706299
GAB,0.40869638323783875,0.2901238203048706,,0.6603193283081055
GMB,0.7922703623771667,0.44204846024513245,,0.6186082363128662
GEO,0.6068536043167114,0.37766575813293457,,0.8055390119552612
DEU,0.20639102160930634,0.17108136415481567,,0.8708469867706299
GHA,0.18261651694774628,0.15441736578941345,,0.6286807656288147
GIB,0.30219972133636475,0.2320682406425476,,0.8708469867706299
GRC,0.44570115208625793,0.3082941174507141,,0.8708469867706299
GRL,0.30219972133636475,0.2320682406425476,,0.8708469867706299
GRD,0.5001595616340637,0.3334042429924011,,0.7713719606399536
GUM,0.30219972133636475,0.2320682406425476,,0.8708469867706299
GTM,0.27066177129745483,0.21300852298736572,,0.7713719606399536
GIN,0.6925472617149353,0.4091745615005493,,0.688909649848938
GNB,3.121829032897949,0.75738924741745,,0.6186082363128662
GUY,1.444382905960083,0.5908988118171692,,0.8708469867706299
HTI,0.5688773393630981,0.36260151863098145,,0.688909649848938
HND,0.37189021706581116,0.2710787057876587,,0.6029811501502991
HKG,0.31910911202430725,0.2419126033782959,,0.8708469867706299
HUN,0.2870287001132965,0.22301656007766724,,0.7610706686973572
ISL,0.30127182602882385,0.23152105510234833,,0.8708469867706299
IND,0.4038088023662567,0.28765228390693665,,0.7296901941299438
IDN,0.15383195877075195,0.13332267105579376,,0.8141405582427979
IRN,0.31025078892707825,0.2367873340845108,,0.7713719606399536
IRQ,1.8973959684371948,0.6548625230789185,,0.7713719606399536
IRL,0.15853187441825867,0.13683860003948212,,0.8708469867706299
IMN,0.30219972133636475,0.2320682406425476,,0.8708469867706299
ISR,0.182991161942482,0.1546851396560669,,0.8708469867706299
ITA,0.2559877634048462,0.20381389558315277,,0.8708469867706299
JAM,0.3921378552913666,0.28159332275390625,,0.7713719606399536
JPN,0.5099055171012878,0.33770692348480225,,0.8708469867706299
JOR,0.3657331168651581,0.2677925229072571,,0.8897325396537781
KAZ,0.23317980766296387,0.18908825516700745,,0.9054595232009888
KEN,0.513522207736969,0.33928948640823364,,0.6554292440414429
KIR,0.43687862157821655,0.30404573678970337,,0.688909649848938
PRK,0.7650962471961975,0.43332433700561523,,0.6186082363128662
KOR,0.2591775357723236,0.20583081245422363,,0.9150992631912231
XKX,0.3921378552913666,0.28159332275390625,,0.6731497049331665
KWT,0.5150504112243652,0.3399559557437897,,0.8708469867706299
KGZ,0.43687862157821655,0.30404573678970337,,0.7710118889808655
LAO,0.43687862157821655,0.30404573678970337,,0.688909649848938
LVA,0.27470800280570984,0.21550661325454712,,0.8708469867706299
LBN,0.14554840326309204,0.12705564498901367,,0.688909649848938
LSO,1.0051445960998535,0.5012828707695007,,0.688909649848938
LBR,0.46373802423477173,0.31681764125823975,,0.6186082363128662
LBY,0.3921378552913666,0.28159332275390625,,0.7713719606399536
LIE,0.30219972133636475,0.2320682406425476,,0.8708469867706299
LTU,0.2719433605670929,0.21380147337913513,,0.7157849073410034
LUX,0.34101077914237976,0.25429385900497437,,0.8708469867706299
MAC,0.30219972133636475,0.2320682406425476,,0.8708469867706299
MDG,0.7379221320152283,0.424600213766098,,0.6186082363128662
MWI,0.848690390586853,0.45907655358314514,,0.6186082363128662
MYS,0.746667742729187,0.4274812638759613,,0.8767292499542236
MDV,0.8815643191337585,0.46852734684944153,,0.7713719606399536
MLI,0.6740393042564392,0.40264245867729187,,0.6186082363128662
MLT,0.30219972133636475,0.2320682406425476,,0.8708469867706299
MHL,0.3921378552913666,0.28159332275390625,,0.7713719606399536
MRT,0.22682642936706543,0.18488876521587372,,0.688909649848938
MUS,0.492764949798584,0.33010217547416687,,0.8974176645278931
MEX,0.29633790254592896,0.22859618067741394,,0.7525669932365417
FSM,0.43687862157821655,0.30404573678970337,,0.688909649848938
MDA,0.2532541751861572,0.20207726955413818,,0.7864500284194946
MCO,0.30219972133636475,0.2320682406425476,,0.8708469867706299
MNG,0.6212501525878906,0.3831920325756073,,0.6798413991928101
MNE,0.4074593186378479,0.2894998788833618,,0.7243251204490662
MAR,0.2331489771604538,0.18906797468662262,,0.688909649848938
MOZ,0.9466589689254761,0.4862993359565735,,0.6145469546318054
MMR,0.434112012386322,0.302704393863678,,0.688909649848938
NAM,0.5081729888916016,0.3369460701942444,,0.6306102871894836
NRU,0.30219972133636475,0.2320682406425476,,0.8708469867706299
NPL,0.2598845958709717,0.20627650618553162,,0.688909649848938
NLD,0.3405584990978241,0.25404223799705505,,0.8708469867706299
NCL,0.30219972133636475,0.2320682406425476,,0.8708469867706299
NZL,0.44873136281967163,0.30974090099334717,,0.862532377243042
NIC,0.4349322021007538,0.303102970123291,,0.6185764670372009
NER,0.439545601606369,0.3053363561630249,,0.6284762024879456
NGA,0.579192578792572,0.36676499247550964,,0.6587256193161011
MKD,0.3921378552913666,0.28159332275390625,,0.7311541438102722
MNP,0.30219972133636475,0.2320682406425476,,0.8708469867706299
NOR,0.33014345169067383,0.248201385140419,,0.8877825140953064
OMN,1.6073912382125854,0.6164748668670654,,0.7516335844993591
PAK,0.4407273530960083,0.30590614676475525,,0.763556957244873
PLW,0.30219972133636475,0.2320682406425476,,0.8708469867706299
PAN,0.23756143450737,0.19195930659770966,,0.7340651154518127
PNG,0.43687862157821655,0.30404573678970337,,0.688909649848938
PRY,0.30828750133514404,0.23564201593399048,,0.7271489500999451
PER,0.34043458104133606,0.2539733052253723,,0.7092998623847961
PHL,0.24838212132453918,0.1989632099866867,,0.688909649848938
POL,0.33585289120674133,0.25141456723213196,,0.8675941228866577
PRT,0.2828851640224457,0.22050701081752777,,0.8708469867706299
PRI,0.30219972133636475,0.2320682406425476,,0.8708469867706299
QAT,0.30219972133636475,0.2320682406425476,,0.8708469867706299
ROU,0.24352824687957764,0.19583651423454285,,0.8708469867706299
RUS,0.35032057762145996,0.25943511724472046,,0.8708469867706299
RWA,1.192621111869812,0.543924868106842,,0.6186082363128662
WSM,0.3921378552913666,0.28159332275390625,,0.7713719606399536
SMR,0.30219972133636475,0.2320682406425476,,0.8708469867706299
SAU,0.9868553876876831,0.49669212102890015,,0.8708469867706299
SEN,0.4388250708580017,0.30498847365379333,,0.660528838634491
SRB,0.18896983563899994,0.1589357703924179,,0.7877033948898315
SYC,0.5066621899604797,0.3362812101840973,,0.8708469867706299
SLE,0.8110886216163635,0.4478459060192108,,0.6186082363128662
SGP,0.29336443543434143,0.22682271897792816,,0.9856669306755066
SXM,0.30219972133636475,0.2320682406425476,,0.8708469867706299
SVK,0.26115670800209045,0.20707711577415466,,0.9455482959747314
SVN,0.30312758684158325,0.23261544108390808,,0.8708469867706299
SLB,0.43687862157821655,0.30404573678970337,,0.688909649848938
SOM,0.7650962471961975,0.43332433700561523,,0.6186082363128662
ZAF,0.28496280312538147,0.2217673510313034,,0.7375056743621826
SSD,0.7650962471961975,0.43332433700561523,,0.6186082363128662
ESP,0.2539849579334259,0.2025422751903534,,0.8708469867706299
LKA,0.25900915265083313,0.20572461187839508,,0.7755508422851562
KNA,0.28766193985939026,0.22339864075183868,,0.8708469867706299
LCA,0.34881430864334106,0.2586081027984619,,0.7713719606399536
MAF,0.30219972133636475,0.2320682406425476,,0.8708469867706299
VCT,0.4959142506122589,0.3315124809741974,,0.7713719606399536
SDN,0.7650962471961975,0.43332433700561523,,0.7391705513000488
SUR,0.3921378552913666,0.28159332275390625,,0.7713719606399536
SWE,0.3283434212207794,0.24718262255191803,,0.8708469867706299
CHE,0.20242834091186523,0.16834960877895355,,0.8708469867706299
SYR,0.7650962471961975,0.43332433700561523,,0.6186082363128662
STP,1.7047396898269653,0.6302786469459534,,0.688909649848938
TWN,0.4537294805049896,0.3121141195297241,,0.8708469867706299
TJK,1.3983314037322998,0.5830434560775757,,0.688909649848938
TZA,0.5052495002746582,0.33565831184387207,,0.5550600290298462
THA,0.4428616464138031,0.30693286657333374,,0.7713719606399536
TLS,0.43687862157821655,0.30404573678970337,,0.688909649848938
TGO,1.0574707984924316,0.5139663815498352,,0.49625521898269653
TON,0.3921378552913666,0.28159332275390625,,0.7713719606399536
TTO,0.30219972133636475,0.2320682406425476,,0.8708469867706299
TUN,0.465090274810791,0.3174481987953186,,0.8334804773330688
TKM,0.3921378552913666,0.28159332275390625,,0.7713719606399536
TCA,0.30219972133636475,0.2320682406425476,,0.8708469867706299
TUV,0.3921378552913666,0.28159332275390625,,0.7713719606399536
TUR,0.183823823928833,0.1552797108888626,,0.8233606815338135
UGA,0.33947044610977173,0.2534363269805908,,0.6186082363128662
UKR,0.27309200167655945,0.21451081335544586,,0.884667694568634
ARE,1.0801730155944824,0.5192707777023315,,0.8708469867706299
GBR,0.25822123885154724,0.20522721111774445,,0.9530091881752014
USA,0.34632813930511475,0.2572390139102936,,0.8704891800880432
URY,0.4823155701160431,0.3253798186779022,,0.6674679517745972
UZB,0.6229716539382935,0.3838462829589844,,0.8836831450462341
VUT,0.43687862157821655,0.30404573678970337,,0.688909649848938
VEN,1.6756643056869507,0.6262610554695129,,0.6110723614692688
VNM,0.3976612389087677,0.2845190465450287,,0.7930318117141724
VIR,0.30219972133636475,0.2320682406425476,,0.8708469867706299
PSE,0.43687862157821655,0.30404573678970337,,0.688909649848938
YEM,0.6428057551383972,0.3912853002548218,,0.622669517993927
ZMB,0.22249770164489746,0.18200255930423737,,0.69864821434021
ZWE,0.43687862157821655,0.30404573678970337,,0.5823031663894653
