Country Name,WB Code,Region,Income Group,Probability of Survival to Age 5,Expected Years of School,Harmonized Test Scores,Learning-Adjusted Years of School,Fraction of Children Under 5 Not Stunted,Adult Survival Rate,HUMAN CAPITAL INDEX 2020 (LOWER BOUND),HUMAN CAPITAL INDEX 2020,HUMAN CAPITAL INDEX 2020 (UPPER BOUND)
Grenada,GRD,Latin America & Caribbean,Upper middle income,0.9847789406776428,13.099438667297363,394.7491455078125,8.273588180541992,-,0.850867509841919,0.5533478260040283,0.5650705099105835,0.5766236782073975
Guatemala,GTM,Latin America & Caribbean,Upper middle income,0.9738149642944336,9.712480545043945,405.257568359375,6.297689914703369,0.5328638553619385,0.8466562628746033,0.4512813091278076,0.4612700939178467,0.4703766405582428
Guinea,GIN,Sub-Saharan Africa,Low income,0.899221658706665,6.993616580963135,408.24908447265625,4.568220138549805,0.6966943144798279,0.759966254234314,0.35245874524116516,0.37094247341156006,0.38669076561927795
Guyana,GUY,Latin America & Caribbean,Upper middle income,0.9698553085327148,12.203946113586426,346.36590576171875,6.763249397277832,0.8872910737991333,0.7743628025054932,0.4773651361465454,0.4952264726161957,0.5096753239631653
Haiti,HTI,Latin America & Caribbean,Low income,0.935236394405365,11.378000259399414,337.8153076171875,6.149860382080078,0.7805390357971191,0.7758921384811401,0.42822667956352234,0.4465649127960205,0.46255362033843994
Honduras,HND,Latin America & Caribbean,Lower middle income,0.982401430606842,9.590043067932129,399.75079345703125,6.133803844451904,0.7737758159637451,0.8604116439819336,0.46915796399116516,0.4810231328010559,0.49126332998275757
"Hong Kong SAR, China",HKG,East Asia & Pacific,High income,0.9913992285728455,13.541403770446777,548.6314086914062,11.8867826461792,-,0.9546135067939758,0.8024086952209473,0.8127565383911133,0.8226003646850586
Hungary,HUN,Europe & Central Asia,High income,0.995729386806488,12.956555366516113,495.4812316894531,10.271568298339844,-,0.8796287775039673,0.6745256185531616,0.6830872893333435,0.6915274858474731
Iceland,ISL,Europe & Central Asia,High income,0.9980381727218628,13.460270881652832,497.6827697753906,10.718311309814453,-,0.95481938123703,0.7390626072883606,0.7452818751335144,0.7514722347259521
India,IND,South Asia,Lower middle income,0.9634257555007935,11.124953269958496,399.0,7.102170467376709,0.652999997138977,0.825507640838623,0.4892657995223999,0.493510901927948,0.4977993667125702
Indonesia,IDN,East Asia & Pacific,Upper middle income,0.9750161170959473,12.388372421264648,394.91510009765625,7.827768325805664,0.7232999801635742,0.8497079610824585,0.5300182104110718,0.5400384664535522,0.549938440322876
"Iran, Islamic Rep.",IRN,Middle East & North Africa,Upper middle income,0.9855986833572388,11.849552154541016,432.10821533203125,8.192461967468262,-,0.9344824552536011,0.5813397169113159,0.5934044718742371,0.6037614941596985
Iraq,IRQ,Middle East & North Africa,Upper middle income,0.9732875227928162,6.931927680969238,363.4324951171875,4.030860424041748,0.8735702037811279,0.844261884689331,0.40058308839797974,0.40764328837394714,0.4138141870498657
Ireland,IRL,Europe & Central Asia,High income,0.9963429570198059,13.90053939819336,521.3285522460938,11.594797134399414,-,0.9443046450614929,0.7835327386856079,0.7925990223884583,0.8010845184326172
Israel,ISR,Middle East & North Africa,High income,0.9962676167488098,13.762948036193848,480.752197265625,10.586508750915527,-,0.9503155946731567,0.722771167755127,0.7339953184127808,0.744976282119751
Italy,ITA,Europe & Central Asia,High income,0.9969688653945923,13.250680923461914,492.9878234863281,10.451878547668457,-,0.9527933597564697,0.719787061214447,0.7278196811676025,0.7354813814163208
Jamaica,JAM,Latin America & Caribbean,Upper middle income,0.9855833053588867,11.39463996887207,387.13299560546875,7.057985782623291,0.9400208592414856,0.8613766431808472,0.5179914236068726,0.534977912902832,0.547929584980011
Japan,JPN,East Asia & Pacific,High income,0.9975103139877319,13.639851570129395,537.7234497070312,11.735149383544922,-,0.9485490918159485,0.7967959046363831,0.8047142624855042,0.81325364112854
Jordan,JOR,Middle East & North Africa,Upper middle income,0.9838480353355408,11.143815040588379,429.9540710449219,7.666126251220703,-,0.8941662311553955,0.5412096381187439,0.5531743764877319,0.5639644861221313
Kazakhstan,KAZ,Europe & Central Asia,Upper middle income,0.9900889992713928,13.708000183105469,416.1546325683594,9.127436637878418,0.9196416735649109,0.8446402549743652,0.6219398379325867,0.6285064220428467,0.634843647480011
Kenya,KEN,Sub-Saharan Africa,Lower middle income,0.958882212638855,11.634634017944336,454.9584045410156,8.469239234924316,0.7380917072296143,0.7736021280288696,0.5270301699638367,0.5467525124549866,0.5646011233329773
Kiribati,KIR,East Asia & Pacific,Lower middle income,0.947486937046051,11.21236801147461,411.4844970703125,7.3819451332092285,-,0.808998703956604,0.4625399112701416,0.4925929307937622,0.516819953918457
"Korea, Rep.",KOR,East Asia & Pacific,High income,0.9968082308769226,13.593419075012207,537.209716796875,11.684027671813965,-,0.9445470571517944,0.7883390784263611,0.7987762689590454,0.8092198371887207
Kosovo,XKX,Europe & Central Asia,Upper middle income,0.9850000143051147,13.168999671936035,373.54876708984375,7.870821475982666,-,0.906000018119812,0.560718834400177,0.5673317313194275,0.5733616352081299
Kuwait,KWT,Middle East & North Africa,High income,0.9921473860740662,12.033761978149414,383.4022216796875,7.382033824920654,-,0.941962718963623,0.5529653429985046,0.5625880360603333,0.5721922516822815
Kyrgyz Republic,KGZ,Europe & Central Asia,Lower middle income,0.9810588359832764,12.87249755859375,420.0865173339844,8.652100563049316,0.8824657797813416,0.8494346141815186,0.5872112512588501,0.5966171026229858,0.6053768992424011
Lao PDR,LAO,East Asia & Pacific,Lower middle income,0.952666699886322,10.614652633666992,368.14208984375,6.252320766448975,0.669367790222168,0.8217880129814148,0.44141775369644165,0.4566653370857239,0.47038137912750244
Latvia,LVA,Europe & Central Asia,High income,0.996137797832489,13.61810302734375,503.8697814941406,10.978800773620605,-,0.8441311717033386,0.6941569447517395,0.7065814137458801,0.7191427946090698
Lebanon,LBN,Middle East & North Africa,Upper middle income,0.9925622940063477,10.155516624450684,389.8890380859375,6.335239410400391,-,0.9345919489860535,0.5049667954444885,0.5151255130767822,0.5239424705505371
Lesotho,LSO,Sub-Saharan Africa,Lower middle income,0.9188860058784485,10.043679237365723,392.9119873046875,6.314051151275635,0.6539850234985352,0.5225437879562378,0.3754560947418213,0.4003925919532776,0.423239529132843
Liberia,LBR,Sub-Saharan Africa,Low income,0.9290632605552673,4.156988620758057,331.7459411621094,2.2065024375915527,0.6986395120620728,0.7757184505462646,0.30315789580345154,0.31901422142982483,0.33166268467903137
Lithuania,LTU,Europe & Central Asia,High income,0.9959642291069031,13.832849502563477,495.88629150390625,10.975232124328613,-,0.8436782956123352,0.6971232295036316,0.7060479521751404,0.7151520848274231
Luxembourg,LUX,Europe & Central Asia,High income,0.9975751042366028,12.422162055969238,492.84783935546875,9.795577049255371,-,0.9419684410095215,0.6805510520935059,0.6861461400985718,0.6914051175117493
