countrycode,years_lost,Source: data from UNSECO,Unnamed: 3,Unnamed: 4,Unnamed: 5
QAT,1.10987,,,,
KOR,1.085911,,,,
MDA,0.4250474,,,,
ROU,0.7964427,,,,
RUS,0.2256214,,,,
RWA,0.8816388,,,,
KNA,0.6990099,,,,
LCA,1.272727,,,,
VCT,1.125673,,,,
WSM,0.0991453,,,,
SMR,0.6959065,,,,
SAU,1.580153,,,,
SEN,0.4260249,,,,
SRB,0.9849624,,,,
SYC,0.7375643,,,,
SLE,0.3057554,,,,
SGP,0.2513274,,,,
SXM,0.5289256,,,,
SVK,0.6213235,,,,
SVN,0.8365554,,,,
SLB,0.2525773,,,,
SOM,0.4466667,,,,
ZAF,0.907438,,,,
SSD,0.9116766,,,,
ESP,0.3205128,,,,
LKA,1.356918,,,,
SDN,0.6738197,,,,
SUR,1.165846,,,,
SJM,0.4240283,,,,
SWE,0.2998205,,,,
CHE,0.1480207,,,,
SYR,0.6219239,,,,
STP,0.4899598,,,,
TJK,0.0,,,,
THA,0.95,,,,
TLS,0.5517774,,,,
TGO,0.3496932,,,,
TKL,0.0460123,,,,
TON,0.1221865,,,,
TTO,1.269871,,,,
TUN,0.729572,,,,
TUR,1.044402,,,,
TKM,0.0567108,,,,
TCA,0.9554731,,,,
TUV,0.2003257,,,,
UGA,1.565847,,,,
UKR,0.641264,,,,
ARE,1.046263,,,,
GBR,0.5,,,,
TZA,0.3066202,,,,
USA,0.9371728,,,,
URY,0.7058824,,,,
UZB,0.3862213,,,,
VUT,0.0784983,,,,
VEN,1.6179,,,,
VNM,0.6614481,,,,
YEM,0.4526112,,,,
ZMB,0.5330948,,,,
ZWE,0.9700704,,,,
