income_group,country,countrycode,delta,labor_share,ky_ratio,hc_growth,tfp_growth,lfp,lfp_male,lfp_female,gdppc,gdp_pc_level,inv_gdp,inv_gdp_weo,gdp_growth,gdppc_growth,gns_gdp,cab_gdp,fdi_gdp,debt_gdp,poverty_215,poverty_365,poverty_685,gini,pop_growth_2024,pop_growth_2030,watp_2024,watp_2030
Low income,Burkina Faso,BFA,0.06089407578110695,0.4259854555130005,2.051619052886963,0.01353748794645071,-0.0025410549715161324,0.48306,0.54451,0.42274999999999996,880.0,696.9160766601562,0.2168886512517929,0.1834000051021576,0.04574129357933998,0.020137786865234375,-0.047994162887334824,-0.03925658017396927,0.012068338692188263,0.5115662813186646,0.42100000000000004,0.6459999999999999,0.904,0.374,0.02245977334678173,0.020245101302862167,0.5554619791147576,0.5924778054976475
Low income,Burundi,BDI,0.040830422192811966,0.6062175035476685,2.228961706161499,0.010514678433537483,-0.009948717430233955,0.7938200000000001,0.77613,0.81113,190.0,278.20257568359375,0.13822728395462036,0.1855500042438507,0.010584335774183273,-0.015709523111581802,-0.12340240180492401,-0.15231026709079742,0.014935235492885113,0.3966018259525299,0.742,0.872,0.9740000000000001,0.375,0.025839339941740036,0.022887583822011948,0.5276929403679697,0.5707895551830638
Upper middle income,Cabo Verde,CPV,0.036435361951589584,0.6261301040649414,4.41304349899292,0.00804363377392292,0.0014869102742522955,0.62429,0.68419,0.55978,5000.0,3483.356201171875,0.3720357418060303,0.22467666864395142,0.030379856005311012,0.02795957587659359,-0.07461227476596832,-0.048989541828632355,0.05180848389863968,0.9654390811920166,0.146,0.297,0.65,0.424,0.004862463101744652,0.004217833746224642,0.6759450309310563,0.705584147459962
Lower middle income,Cambodia,KHM,0.04241127520799637,0.4958328306674957,4.613289833068848,0.020189078524708748,0.0022091122809797525,0.83758,0.88932,0.7878400000000001,2520.0,1456.4862060546875,0.24895533919334412,0.3251100182533264,0.053536318242549896,0.039941996335983276,-0.09727446734905243,-0.08381439000368118,0.09369735419750214,0.5322608351707458,,,,,0.012259398587048054,0.010035374201834202,0.6404315021307713,0.6455491595541559
Lower middle income,Cameroon,CMR,0.04507410153746605,0.6435971260070801,2.3286514282226562,0.003564500482752919,0.0030240805353969336,0.6576900000000001,0.74598,0.5705,1680.0,1398.038818359375,0.26095378398895264,0.23428332805633545,0.03473764657974243,0.006958382669836283,-0.03371020406484604,-0.03592237830162048,0.020471669733524323,0.31112194061279297,0.267,0.413,0.74,0.42200000000000004,0.026126829907298088,0.023906145244836807,0.5576297394598329,0.5754196334185827
High income,Canada,CAN,0.03415324166417122,0.6593016982078552,4.871886253356934,0.002467399463057518,-0.0012638071784749627,0.8050799999999999,0.8354900000000001,0.77423,53340.0,52209.109375,0.1975177526473999,0.22655999660491943,0.01701425388455391,0.0017229797085747123,-0.031104814261198044,-0.017163237556815147,0.02464294619858265,,0.002,0.002,0.005,0.299,0.011217637918889523,0.006727392785251141,0.6508908866418083,0.6310354416066473
High income,Cayman Islands,CYM,0.038649171590805054,0.49083033204078674,4.538270950317383,0.005804792046546936,0.001797617063857615,,,,,,0.20726224780082703,,0.02904238924384117,0.007489926181733608,,-0.1371360868215561,2.213050127029419,,,,,,0.019241923466324806,0.015529781579971313,0.74814491488433,0.7170946860079233
Low income,Central African Republic,CAF,0.03415387496352196,0.16431578993797302,7.674293041229248,0.0066982293501496315,-0.008160226047039032,0.73712,0.8241299999999999,0.66361,520.0,396.9222717285156,0.13499045372009277,0.17950166761875153,0.024639159440994263,0.01039941143244505,-0.06544353812932968,,0.006316716317087412,0.39948317408561707,0.716,0.8390000000000001,0.961,0.43,0.034013982862234116,0.03112233616411686,0.4884556678831134,0.5061873619948488
Low income,Chad,TCD,0.0759783387184143,0.48539406061172485,2.2223353385925293,0.010602852329611778,0.0005836357595399022,0.6031,0.7204900000000001,0.48625999999999997,970.0,660.0720825195312,0.23185914754867554,0.3432166576385498,0.027867324650287628,-0.007946011610329151,-0.06168939918279648,,0.034878507256507874,0.16820675134658813,0.395,0.614,0.895,0.374,0.049485303461551666,0.028553783893585205,0.5183483542614131,0.5239562533545934
High income,Channel Islands,CHI,0.04230361059308052,0.5460877418518066,5.107937335968018,0.005804792046546936,0.001797617063857615,0.72422,0.79268,0.65495,,,0.20726224780082703,,0.016727250069379807,0.01338778343051672,,,,,,,,,,,,
High income,Chile,CHL,0.04286716505885124,0.4402236044406891,3.8859446048736572,0.006563280709087849,-0.007040804717689753,0.69695,0.7842600000000001,0.6088600000000001,15750.0,13866.9541015625,0.22707253694534302,0.2394416630268097,0.01940048672258854,0.009290219284594059,-0.026822905987501144,-0.04048841819167137,0.04616516828536987,,0.005,0.009000000000000001,0.057,0.43,0.005374255124479532,0.0031462691258639097,0.6889874998048928,0.6856576891535059
Upper middle income,China,CHN,0.04928606003522873,0.561180591583252,5.510737895965576,0.007706240750849247,0.02974609099328518,0.74698,0.79386,0.6969299999999999,13660.0,10152.7275390625,0.4197699725627899,0.4128616750240326,0.05614849179983139,0.053478993475437164,0.018814604729413986,0.01637183502316475,0.012945226393640041,0.13246653974056244,0.0,0.003,0.21,0.35700000000000004,-0.0022968079429119825,-0.002948770998045802,0.6932691883075077,0.69518689199573
Upper middle income,Colombia,COL,0.03801644593477249,0.4776495099067688,3.352492570877075,0.008622517809271812,0.0006984212668612599,0.6916100000000001,0.8089700000000001,0.57631,7040.0,6512.1298828125,0.22208571434020996,0.19951334595680237,0.024308668449521065,0.011579956859350204,-0.04042455926537514,-0.041928768157958984,0.03968329355120659,0.5392016768455505,0.077,0.139,0.376,0.539,0.0107447924092412,0.007452805060893297,0.6994945114726975,0.6870804441795073
Lower middle income,Comoros,COM,0.029763752594590187,0.4958328306674957,5.0068278312683105,0.010007699951529503,0.0022091122809797525,0.52565,0.61613,0.43381000000000003,1690.0,1284.2904052734375,0.2024516463279724,0.007446667179465294,0.03345099836587906,0.013727978803217411,-0.03371591866016388,-0.019050950184464455,0.003763744840398431,0.2668362259864807,0.314,0.47700000000000004,0.767,0.45299999999999996,0.01891827955842018,0.017214221879839897,0.5840643274853801,0.6016507918729768
