countrycode,country_name,kg_kp_ratio,kg_k_share,kg_kp_fad,kg_k_fad,iei,pimi,efficiency_pimi,ig_i_20yr,ig_i_15yr,ig_i_10yr,ig_i_5yr,ig_i_current,ip_y,i_y,ig_y
CHI,Channel Islands,0.30219972133636475,0.2320682406425476,0.32298409938812256,0.24413134157657623,0.8708469867706299,0.29750001430511475,,,,,,0.16820192337036133,,,
CHL,Chile,0.16617926955223083,0.1424989104270935,0.16091454029083252,0.13861015439033508,0.7343809604644775,1.0,,0.11739178001880646,0.11472367495298386,0.11219491064548492,0.10977718979120255,0.10023073107004166,,0.23489351298166958,
CHN,China,0.8765276670455933,0.4671008586883545,1.033219575881958,0.5081691741943359,0.8418564200401306,0.45320335030555725,,0.4793747663497925,0.41510432958602905,0.3757691979408264,0.36612868309020996,0.3646436333656311,,,
COL,Colombia,0.2163630872964859,0.17787706851959229,0.6530268788337708,0.39504915475845337,0.7713719606399536,0.7674999833106995,,0.1478520631790161,0.1458273082971573,0.1562519520521164,0.1580798178911209,0.16364546120166779,,0.1651875716140412,
COM,Comoros,0.2279074341058731,0.18560637533664703,1.8041744232177734,0.6433888077735901,0.688909649848938,0.37789109349250793,,0.20830678939819336,0.23813551664352417,0.283872127532959,0.3733212947845459,0.39335131645202637,,0.1173394169360855,
COD,"Congo, Dem. Rep.",0.21562792360782623,0.17737987637519836,0.21730834245681763,0.1785154491662979,0.5419837236404419,0.327118843793869,,0.19300298392772675,0.22889599204063416,0.20311474800109863,0.20452101528644562,0.1730903834104538,0.25436623668241154,0.32939613717989,0.0750299021601677
COG,"Congo, Rep.",0.35226544737815857,0.2605002224445343,0.8793039917945862,0.46788811683654785,0.688909649848938,0.125,,0.25008344650268555,0.2375163584947586,0.2407260537147522,0.2387782633304596,0.2393243908882141,,0.2653933945958234,
CRI,Costa Rica,0.18673236668109894,0.15735001862049103,0.21337741613388062,0.17585411667823792,0.7205625772476196,0.4970403015613556,,0.13121584057807922,0.12782754004001617,0.13714198768138885,0.14491619169712067,0.17412665486335754,,0.15825523977808517,
HRV,Croatia,0.45611441135406494,0.31324076652526855,0.5339806079864502,0.34810125827789307,0.899700939655304,1.0,,0.2209114134311676,0.19574372470378876,0.17874008417129517,0.1701073944568634,0.2053087204694748,,0.23663313389505317,
CUB,Cuba,0.3921378552913666,0.28159332275390625,0.4353678822517395,0.3031167984008789,0.7713719606399536,0.48249998688697815,,,,,,0.21673117578029633,,,
CUW,Curaçao,0.30219972133636475,0.2320682406425476,0.32298409938812256,0.24413134157657623,0.8708469867706299,0.29750001430511475,,,,,,0.16820192337036133,,,
CYP,Cyprus,0.30219972133636475,0.2320682406425476,0.32298409938812256,0.24413134157657623,0.8712047934532166,1.0,,0.16589877009391785,0.16038255393505096,0.17158150672912598,0.1478121429681778,0.16820192337036133,,0.20517198727491617,
CZE,Czechia,0.25934547185897827,0.2059367150068283,0.28436079621315,0.2214025855064392,0.8708469867706299,1.0,,0.16873526573181152,0.1678231954574585,0.16001082956790924,0.1563708633184433,0.16723808646202087,,0.2616643649417607,
CIV,Côte d’Ivoire,0.38913241028785706,0.2801262140274048,0.7981619834899902,0.44387659430503845,0.679297149181366,0.4675000011920929,,0.20252417027950287,0.2139214724302292,0.23163646459579468,0.24771401286125183,0.2599565386772156,0.16122507660781163,0.24482465992700686,0.08359958976507187
DNK,Denmark,0.3511883318424225,0.2599107325077057,0.32298409938812256,0.24413134157657623,0.9702854752540588,1.0,,0.16105157136917114,0.16452006995677948,0.176840677857399,0.16298790276050568,0.1492895781993866,,0.22209728326269557,
DJI,Djibouti,0.8051954507827759,0.44604334235191345,0.4784809350967407,0.32361602783203125,0.688909649848938,0.39125001430511475,,0.5034868121147156,0.4206787347793579,0.4194221496582031,0.30913498997688293,0.34236177802085876,0.19698490107446878,0.26303220684354234,0.066047303378582
DMA,Dominica,2.4286868572235107,0.7083431482315063,2.376392364501953,0.7038258910179138,0.7713719606399536,0.4860769808292389,,0.6537892818450928,0.6857542991638184,0.7501928210258484,0.6939724683761597,0.7336322069168091,,,
DOM,Dominican Republic,0.22342416644096375,0.1826220005750656,0.28578466176986694,0.22226479649543762,0.7713719606399536,0.4735589325428009,,0.1531156599521637,0.13198386132717133,0.11525935679674149,0.07110681384801865,0.05620521679520607,,0.26121092162213416,
ECU,Ecuador,0.7820377945899963,0.4388446807861328,0.8832338452339172,0.4689984917640686,0.6658869981765747,0.46773722767829895,,0.3732739984989166,0.39970099925994873,0.44494038820266724,0.3917529881000519,0.26400071382522583,,0.1841014866343077,
EGY,"Egypt, Arab Rep.",1.218172311782837,0.549178421497345,0.41374561190605164,0.2926591634750366,0.8803142309188843,0.35749998688697815,,0.45100265741348267,0.40925636887550354,0.43897202610969543,0.48607388138771057,0.4898039996623993,0.05038159658884931,0.11698137907620425,0.0665997862815857
SLV,El Salvador,0.33121898770332336,0.24880878627300262,0.4010792076587677,0.28626447916030884,0.7890307903289795,0.4424999952316284,,0.15777587890625,0.1482069343328476,0.14462554454803467,0.15269087255001068,0.1385939121246338,0.1937618478855907,0.22188290330315655,0.02812105603516102
GNQ,Equatorial Guinea,1.8283439874649048,0.6464362144470215,2.4993667602539062,0.7142339944839478,0.7713719606399536,1.0,,0.5836578607559204,0.6495530009269714,0.7039291262626648,0.748203694820404,0.549369752407074,0.04331421622046732,0.09071813094584429,0.047403912991285324
ERI,Eritrea,4.950874328613281,0.8319574594497681,0.8174363970756531,0.4497744143009186,0.6186082363128662,0.35495561361312866,,0.7762983441352844,0.7797097563743591,0.7220591306686401,0.6213292479515076,0.5041329860687256,,,
EST,Estonia,0.30768829584121704,0.23529177904129028,0.3121159076690674,0.23787221312522888,0.8708469867706299,1.0,,0.19028134644031525,0.19876083731651306,0.20650504529476166,0.2067592740058899,0.18885919451713562,,0.26106113552668636,
SWZ,Eswatini,0.869339108467102,0.4650515913963318,1.1467787027359009,0.5341858267784119,0.688909649848938,0.27000001072883606,,0.4342533349990845,0.4848692715167999,0.4851391911506653,0.5154231190681458,0.36836379766464233,,,
ETH,Ethiopia,0.9087212085723877,0.4760890007019043,1.0939326286315918,0.5224297046661377,0.59770667552948,0.4124999940395355,,0.5134465098381042,0.5121810436248779,0.4554763436317444,0.3667798936367035,0.3179771304130554,0.1475898152651369,0.20498585453207605,0.05739603936672211
FRO,Faroe Islands,0.30219972133636475,0.2320682406425476,0.32298409938812256,0.24413134157657623,0.8708469867706299,0.29750001430511475,,,,,,0.16820192337036133,,,
